x1,x2,x3
-0.329860307,-0.802217629,1.509574549
0.173786125,-2.064947607,-0.718792029
0.54815568,-1.784192511,-0.885587995
2.436775482,-0.895700956,-1.365807906
0.656872754,2.77579428,-2.245428404
1.542503864,2.254874081,-3.45405051
1.385731183,2.382614631,-0.778440678
2.750285954,2.706867306,-1.646334448
2.786922826,3.505829954,0.124282572
3.405452703,3.870334083,-2.679687761
3.126755115,4.38388755,-3.200493916
2.45954647,4.0709837,-2.329328074
1.460367055,5.061282365,-1.870421244
0.608147178,3.57158352,0.353189203
-0.067155735,2.534157114,0.40747651
-0.148693795,2.950027644,0.103404069
0.111922053,4.381289615,0.040500333
-0.657512918,5.264495663,-1.423745667
-2.101427395,5.658342854,-1.759675224
-1.59063839,4.222681795,0.63186751
-0.893769317,4.401405096,2.527787009
-0.433763777,4.129314942,2.524422889
-1.594350585,5.06220957,2.746464196
-0.317411197,6.546212178,2.19327734
-1.375642408,7.884790697,0.645636587
-1.333447955,7.43357658,0.862362364
-0.659946306,6.684288038,1.421413681
-0.752816677,7.593063679,1.176416562
-0.949842462,8.056815735,0.834938527
0.491424579,8.173364788,0.179252363
0.285253911,10.46458589,1.095810603
-0.014693924,10.54189139,0.457137474
0.250083409,12.08786549,0.654020433
8.13E-05,11.62241075,0.617711052
-0.298184313,11.11461762,0.917394444
-0.119881282,9.46563901,-0.033868745
-0.567853393,8.337003013,0.201973605
-0.00361382,8.919467963,-0.139578742
-0.598110285,9.027073718,0.88798399
-1.569797383,10.32745362,0.968734415
0.644604369,9.559995003,-0.190000788
2.065214828,7.485699979,-0.485238757
2.951949787,6.845645003,-0.970243728
2.583937368,7.006604763,0.140851583
1.677235723,6.590216901,0.09823384
2.007892473,6.190822039,1.325664763
2.399869989,8.809598959,0.772358386
2.063732099,10.04645442,0.151572201
4.321760118,9.420702913,0.030913841
1.196258711,8.75997494,-0.692779321
2.344515033,7.503147439,0.334549124
2.433609934,7.550124937,0.279700616
2.718158195,10.3697038,-0.571724986
2.496651311,12.42704493,0.357327412
2.330344272,12.09604924,-1.144212386
1.375835276,13.16943627,-0.8890828
2.47415438,13.37569242,0.126607914
1.817939223,13.24314969,0.390603959
0.705842587,13.31502864,0.528077282
0.774577995,14.41222074,0.650274836
1.145493333,14.99396043,1.504137336
1.793094038,13.85629323,1.26324522
0.47109977,13.93209399,0.807400195
1.480470535,14.76375521,-0.027535884
2.911820882,15.02340649,-1.376837435
2.270864793,16.06557506,-1.878613081
2.190724451,16.38104747,-2.862942323
3.023441612,17.87740769,-1.055461616
5.087122033,18.45457844,-2.077913294
4.131148999,20.52309392,-1.183700571
2.992768185,20.92517575,-0.834091546
2.582891846,20.75526358,-0.772729931
3.359092015,19.56073424,0.894311364
3.202956733,19.99203957,-0.916470183
1.712343947,20.26822876,-1.994503194
0.966301396,19.40430962,-0.654583125
1.302369998,20.28434878,-0.638429049
1.627907456,20.71816325,-0.300720807
2.893097081,21.11191969,-0.828551627
2.817519139,20.85042048,-1.982397926
0.976348005,20.62860612,-1.551470755
2.274900145,21.97225835,0.137161551
2.883720779,22.72843274,0.144069955
1.765547487,22.56031806,0.269813704
1.938861127,24.16282194,0.482026768
3.280723136,24.08477651,-0.198410848
3.494157056,24.27387772,-0.210912932
2.252818685,23.88569223,-1.368714959
1.384626599,25.05529673,-2.011130682
1.606626273,26.09394349,-2.771393917
1.682172993,26.54015264,-1.046653187
0.131560177,26.54195422,-1.538337682
0.477566585,26.79488158,-1.094195041
1.686287796,27.89661822,1.354483013
1.857417517,26.61853454,4.523481911
2.615859817,25.19468295,4.457256941
3.378789512,25.25391317,3.612083708
3.076236265,24.05549102,1.073743911
1.543190035,25.33327236,1.942380501
2.550463047,26.76648582,1.885321697
