y1,y2,x1,x2,x3
24.55938065,-0.035552715,9.142913209,7.644754521,-0.860915197
24.12443935,-2.064031161,9.781076898,6.1692427,-0.847666197
19.00224555,-2.463037759,9.009684139,3.511900287,-0.015927226
20.00139866,-3.197079744,9.8647827,2.648442701,-0.073328258
23.59058682,-2.985080026,9.976242457,5.147319895,-0.558965189
23.84119387,-3.572094679,9.284319824,6.074210641,-0.55760996
23.86496334,-1.949893706,9.494304197,5.344698953,0.727071413
20.07193351,-0.273018116,9.082275495,3.499658352,0.551081567
21.60598178,1.111499239,9.208802172,5.019758145,0.621945025
28.98693866,0.925290212,9.951540537,9.661573623,0.674632783
25.42055501,-0.087619412,9.954319144,7.225872608,0.069899195
20.74931523,-1.562206798,9.483664042,3.486562412,-0.984589944
22.84103734,-0.245199226,9.47396777,4.207304207,0.729000102
18.87843995,-1.803677432,9.781639905,3.392614697,0.219939974
16.56270197,-2.074461813,9.943579947,1.217735177,0.221526009
17.77406506,-2.863883167,9.988170522,1.97745315,-0.267989919
22.43560935,-2.447824447,9.064702963,4.694812764,-0.402539901
28.09131113,-0.250692913,9.86263145,9.15997941,0.655268684
24.63620824,-1.235278654,9.496908593,5.980315762,-0.369619982
16.75555448,-0.15901217,9.30424431,2.42475628,0.200924522
22.66045232,0.729239233,9.762776526,6.190709722,-0.307462231
19.33853732,1.76222636,9.65853453,1.492692375,0.106425413
24.90601372,2.999000677,9.464485639,7.612050624,0.563218488
23.28398073,3.138723858,9.618759653,6.092161498,0.130935026
22.9125001,3.802886825,9.649753904,4.646625265,0.927042603
21.73539804,2.728108636,9.186975784,4.62045671,-0.326668644
22.57231035,0.070245619,9.270600276,5.730676329,-0.729234771
19.23012394,0.354740101,9.78969643,3.696029467,-0.558445022
28.78209037,-1.262748884,9.992286689,9.464393297,-0.186327362
25.15841246,-1.824442244,9.250237611,7.248445512,-0.79667616
21.54400059,-0.307452665,9.185651463,5.485333609,-0.147712017
21.3840526,-0.995893406,9.041754607,5.646934448,-0.052333798
20.54709245,1.846311931,9.543640787,3.395791698,0.61078329
22.07738805,2.724381437,9.47472852,4.374240417,-0.282252988
23.27045218,0.80826977,9.017251698,6.616578942,-0.438067653
21.88647691,0.241261913,9.304629385,4.784258709,0.210956307
20.31003619,1.63015374,9.900608901,3.453691109,0.641004224
21.61454798,0.92190427,9.987317583,5.00684955,-0.456690356
19.59507581,0.271761042,9.610139881,3.392828237,-0.874897033
20.20249392,-0.744671044,9.150979869,3.878259553,-0.058769336
25.12060627,-0.351044196,9.158874656,7.09478986,-0.868189482
23.45894954,0.908635132,9.455978165,4.794898764,-0.103052422
20.49561351,2.03865022,9.235449284,3.159948727,0.976806459
19.72151395,2.787249805,9.091370399,3.853433188,0.628637673
18.35656861,0.954466594,9.858115649,2.215610243,-0.786612689
27.30734754,-0.39203977,9.601382752,8.082121475,0.218801647
25.61177022,-1.638877482,9.371534978,7.442936396,-0.493080122
19.40271664,1.244738944,9.847469374,3.768249086,0.991173749
23.30880117,0.782606844,9.357262688,5.754210764,0.736298549
24.04057535,2.008733379,9.41219633,5.948663692,0.217519422
22.27924683,0.589723841,9.416458311,5.071046923,0.167288362
